# Designed quadrature rule — Gauss–Hermite (GH) family
# family: hermite
# weight function: standard normal N(0, I_d), density (2*pi)^(-d/2) * exp(-|x|^2 / 2) on R^d
# normalization: probabilists' normalization: total mass 1, so the weights sum to 1
# verified: sum of weights = 1   (|sum w - 1| = 1.063e-17)
# domain: R^d
# d: 5   p: 11   q: 6   n: 485
# exactness: all monomials of total degree <= p
# verified max relative monomial error (BigFloat, 192 bits): 3.118440e-16
# relative error definition: |sum_s w_s prod_k x_sk^a_k - E[x^a]| / max(sum_s |w_s| prod_k |x_sk|^a_k, 1)
# project relative gate: 1.0e-11 (passed)
# min weight: 1.5780397401602367e-06   max weight: 0.08387967833315188   (all weights positive)
# node range: [-4.3143550243004958, 4.3143550243004958]   max |node| = 4.3143550243004958
# source file: rules/hermite_d5_p11_n485.csv   (local tree: sync)
# source sha256: 2dea8cdef678997d2987361bbc9f203ac40dd0523837037cbbb0e3b156538ef5
# precision shipped: Float64 round-trip (17 significant digits)
# credit: ours
# credit note: our own tooling produced this rule — a worker log names this exact file on a production line — d5p11_s1.log: BANKED /home/joris/oldDesignedQuadrature/julia/rules/hermite_d5_p11_n485.csv  (exactness 7.16227077646181e-12)  485 nodes = origin(1) 4+1(160) 1|4z(10) 5(32) …; another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/poppyrose.tsv (that machine's own log d5p11_s1.log), banked 2026-08-18T13:57:05; symq sidecar best_d5_p11.txt records our search reaching exactly n=485 for this cell. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work
# credit evidence grade: log-names-file
# credit evidence: a worker log names this exact file on a production line — d5p11_s1.log: BANKED /home/joris/oldDesignedQuadrature/julia/rules/hermite_d5_p11_n485.csv  (exactness 7.16227077646181e-12)  485 nodes = origin(1) 4+1(160) 1|4z(10) 5(32) …; another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/poppyrose.tsv (that machine's own log d5p11_s1.log), banked 2026-08-18T13:57:05; symq sidecar best_d5_p11.txt records our search reaching exactly n=485 for this cell
# lineage parent: unrecorded
# lineage chain root: unrecorded
# credit vocabulary: ours | derived-from:<rule> (<paper>) | transcribed:<source> | same-rule:<source> | unrecorded
# tie: no-published-count-on-record
# tie note: no published count for this cell is recorded in the repo
# tie vocabulary: same-rule:<source> | distinct:<source> (equal count, different node set) | unestablished:<source> | no-tie | no-published-count-on-record
# extended precision: twin-shipped
# Float64 file origin: round-down of the extended twin (row order shared with rules_extended/); the source file above is the bank file the twin was refined from
# extended-precision twin: rules_extended/hermite_d5_p11_q6_n485.mp.csv (40 digits, verified rel err 5.158980e-40)
# Float64 file: round-down of the extended twin (row order shared): row i here is row i of the twin rounded to Float64
# the twin rounded to IEEE binary128 (Float128): verified rel err 3.100882e-34 (1.61 eps128)
# extended-precision source sha256: 56473310b2b3e1a8938ba98708304661b89ed8b97302865c591061a5368a3e4f
# generated: 2026-09-19T21:17:03 by make_publish.jl
# columns: x1,x2,x3,x4,x5,w
x1,x2,x3,x4,x5,w
0.0,0.0,0.0,0.0,0.0,0.08387967833315188
1.0,1.0,1.0,1.0,3.0,0.0003255208333333333
-1.0,-1.0,-1.0,-1.0,-3.0,0.0003255208333333333
-1.0,1.0,1.0,1.0,3.0,0.0003255208333333333
1.0,-1.0,-1.0,-1.0,-3.0,0.0003255208333333333
1.0,-1.0,1.0,1.0,3.0,0.0003255208333333333
-1.0,1.0,-1.0,-1.0,-3.0,0.0003255208333333333
-1.0,-1.0,1.0,1.0,3.0,0.0003255208333333333
1.0,1.0,-1.0,-1.0,-3.0,0.0003255208333333333
1.0,1.0,-1.0,1.0,3.0,0.0003255208333333333
-1.0,-1.0,1.0,-1.0,-3.0,0.0003255208333333333
-1.0,1.0,-1.0,1.0,3.0,0.0003255208333333333
1.0,-1.0,1.0,-1.0,-3.0,0.0003255208333333333
1.0,-1.0,-1.0,1.0,3.0,0.0003255208333333333
-1.0,1.0,1.0,-1.0,-3.0,0.0003255208333333333
-1.0,-1.0,-1.0,1.0,3.0,0.0003255208333333333
1.0,1.0,1.0,-1.0,-3.0,0.0003255208333333333
1.0,1.0,1.0,-1.0,3.0,0.0003255208333333333
-1.0,-1.0,-1.0,1.0,-3.0,0.0003255208333333333
-1.0,1.0,1.0,-1.0,3.0,0.0003255208333333333
1.0,-1.0,-1.0,1.0,-3.0,0.0003255208333333333
1.0,-1.0,1.0,-1.0,3.0,0.0003255208333333333
-1.0,1.0,-1.0,1.0,-3.0,0.0003255208333333333
-1.0,-1.0,1.0,-1.0,3.0,0.0003255208333333333
1.0,1.0,-1.0,1.0,-3.0,0.0003255208333333333
1.0,1.0,-1.0,-1.0,3.0,0.0003255208333333333
-1.0,-1.0,1.0,1.0,-3.0,0.0003255208333333333
-1.0,1.0,-1.0,-1.0,3.0,0.0003255208333333333
1.0,-1.0,1.0,1.0,-3.0,0.0003255208333333333
1.0,-1.0,-1.0,-1.0,3.0,0.0003255208333333333
-1.0,1.0,1.0,1.0,-3.0,0.0003255208333333333
-1.0,-1.0,-1.0,-1.0,3.0,0.0003255208333333333
1.0,1.0,1.0,1.0,-3.0,0.0003255208333333333
1.0,1.0,1.0,3.0,1.0,0.0003255208333333333
-1.0,-1.0,-1.0,-3.0,-1.0,0.0003255208333333333
-1.0,1.0,1.0,3.0,1.0,0.0003255208333333333
1.0,-1.0,-1.0,-3.0,-1.0,0.0003255208333333333
1.0,-1.0,1.0,3.0,1.0,0.0003255208333333333
-1.0,1.0,-1.0,-3.0,-1.0,0.0003255208333333333
-1.0,-1.0,1.0,3.0,1.0,0.0003255208333333333
1.0,1.0,-1.0,-3.0,-1.0,0.0003255208333333333
1.0,1.0,-1.0,3.0,1.0,0.0003255208333333333
-1.0,-1.0,1.0,-3.0,-1.0,0.0003255208333333333
-1.0,1.0,-1.0,3.0,1.0,0.0003255208333333333
1.0,-1.0,1.0,-3.0,-1.0,0.0003255208333333333
1.0,-1.0,-1.0,3.0,1.0,0.0003255208333333333
